abstract;abstrakt
assert;assert
boolean;resalne
break;prekini
byte;bajt
case;primer
catch;ujemi
char;znak
class;razred
continue;nadaljuj
const;konst
default;privzeti
do;počni
double;deci
else;sicer
enum;vštevilčnik
exports;širiven
extends;razširjuje
false;nires
final;končno
finally;nakoncu
float;plava
for;za
goto;pojdina
if;če
implements;uvede
import;uvozi
instanceof;primerekod
int;cel
interface;vmesnik
long;dolgi
module;modul
native;domač
new;nov
null;nič
package;paket
private;zaseben
protected;zaščiten
public;javen
requires;potrebuje
return;vrni
short;kratki
static;statičen
strictfp;strictfp
super;roditelj
switch;stikalo
synchronized;sinhronizirano
this;to
throw;vrži
throws;vrže
transient;transient
true;res
try;probaj
var;spre
void;prazno
volatile;volatile
while;dokler
